JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName
1001|1001|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:01:26|2017-01-01T00:01:26|2017-01-01T00:01:26|2017-01-01T00:01:41|00:00:15|0:0|COMPLETED|1|12|12|2800Mn|00:07:00|n1|normal|1|1001
1003|1003|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:02:26|2017-01-01T00:02:26|2017-01-01T00:02:26|2017-01-01T00:05:01|00:02:35|0:0|COMPLETED|1|1|1|500000Mn|00:16:00|b1|normal|1|1003
1005|1005|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:11:05|2017-01-01T00:11:05|2017-01-01T00:11:05|2017-01-01T00:12:14|00:01:09|0:0|COMPLETED|1|12|12|500000Mn|00:10:00|b1|normal|1|1005
1008|1008|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:12:50|2017-01-01T00:12:50|2017-01-01T00:12:50|2017-01-01T00:12:51|00:00:01|0:0|COMPLETED|1|12|12|2800Mn|00:18:00|m3|normal|1|1008
1010|1010|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:14:34|2017-01-01T00:14:34|2017-01-01T00:14:34|2017-01-01T00:14:35|00:00:01|0:0|COMPLETED|1|12|12|2800Mn|00:17:00|n4|normal|1|1010
1009|1009|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:14:29|2017-01-01T00:14:29|2017-01-01T00:14:29|2017-01-01T00:15:35|00:01:06|0:0|COMPLETED|8|96|96|2800Mn|00:05:00|b[1-8]|normal|1|1009
1006|1006|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:11:11|2017-01-01T00:11:11|2017-01-01T00:11:11|2017-01-01T00:15:42|00:04:31|0:0|COMPLETED|1|12|12|2800Mn|00:09:00|n3|normal|1|1006
1011|1011|beocat|normal|account2|users|100|user4|1004|2017-01-01T00:15:57|2017-01-01T00:15:57|2017-01-01T00:15:57|2017-01-01T00:15:58|00:00:01|0:0|COMPLETED|1|1|1|2800Mn|00:30:00|g1|normal|1|1011
1013|1013|beocat|normal|account1|users|100|user2|1002|2017-01-01T00:19:46|2017-01-01T00:19:46|2017-01-01T00:19:46|2017-01-01T00:19:47|00:00:01|0:0|COMPLETED|1|1|1|500000Mn|00:10:00|b1|normal|1|1013
1014|1014|beocat|normal|account2|users|100|user5|1005|2017-01-01T00:19:52|2017-01-01T00:19:52|2017-01-01T00:19:52|2017-01-01T00:19:53|00:00:01|0:0|COMPLETED|1|12|12|2800Mn|00:26:00|n3|normal|1|1014
1004|1004|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:09:31|2017-01-01T00:09:31|2017-01-01T00:09:31|2017-01-01T00:20:10|00:10:39|0:0|COMPLETED|1|12|12|2800Mn|00:21:00|n2|normal|1|1004
1002|1002|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:02:15|2017-01-01T00:02:15|2017-01-01T00:02:15|2017-01-01T00:22:16|00:20:01|0:0|COMPLETED|1|1|1|2800Mn|00:30:00|n1|normal|1|1002
1018|1018|beocat|normal|account1|users|100|user3|1003|2017-01-01T00:22:44|2017-01-01T00:22:44|2017-01-01T00:22:44|2017-01-01T00:23:06|00:00:22|0:0|COMPLETED|1|12|12|2800Mn|00:19:00|m4|normal|1|1018
1017|1017|beocat|normal|account1|users|100|user1|1001|2017-01-01T00:22:38|2017-01-01T00:22:38|2017-01-01T00:22:38|2017-01-01T00:23:12|00:00:34|0:0|COMPLETED|1|12|12|2800Mn|00:05:00|n1|normal|1|1017
1015|1015|beocat|normal|account1|users|100|user2|1002|2017-01-01T00:21:20|2017-01-01T00:21:20|2017-01-01T00:21:20|2017-01-01T00:30:28|00:09:08|0:0|COMPLETED|1|6|6|2800Mn|00:15:00|m3|normal|1|1015
